Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
100 Thieves,15,NA,18,0.611,1.18,1879,82,1900-01-01 09:33:00,17.7,15.1,7.2,5.1,66.7,55.6,61.1,2.17,46.2,3.1,77.8,61.1,0.56,0.1,280.0,4.22,0.78,68.8,32.2,2916.0,3.4,1.28,1.5,2
5M Esports,15,PT,2,0.5,0.57,1676,-315,1900-01-01 08:17:00,15.0,26.5,4.0,9.0,49.0,47.2,47.599999999999994,2.5,50.0,0.0,50.0,50.0,1.5,-1.0,-4577.0,3.0,0.5,50.0,28.6,2503.0,2.3,0.42,0.62,3
A One Man Army,15,NL,18,0.389,0.87,1815,-5,1900-01-01 08:56:00,14.3,16.5,5.9,6.3,27.8,44.4,38.9,2.61,56.6,3.3,55.6,33.3,1.11,-0.1,177.0,3.39,0.33,35.7,32.7,2759.0,2.6,0.62,1.28,3
Actions Per Minute,15,GR,21,0.524,0.95,1736,-15,1900-01-01 07:23:00,15.0,15.8,5.4,6.3,47.6,38.1,33.3,2.05,47.9,2.6,45.0,47.6,0.9,-0.3,-1071.0,2.71,0.43,57.1,29.0,2650.0,2.6,0.75,0.99,3
Anubis Gaming,15,AL,33,0.515,0.92,1863,17,1900-01-01 06:45:00,16.1,17.4,6.3,5.6,51.5,54.5,45.5,1.52,37.2,3.0,48.5,48.5,0.67,-0.1,-126.0,5.18,0.36,40.4,32.3,2829.0,2.7,0.62,1.17,3
Anyone s Legend,15,CN,46,0.696,1.48,1903,130,1900-01-01 09:09:00,18.9,12.8,7.0,4.8,71.7,65.2,50.0,2.61,62.4,2.8,53.3,47.25,0.83,-0.1,448.0,4.18,0.76,66.2,33.1,2825.0,3.4,1.35,1.61,1
Apex Mission Impossible,15,NA,10,0.4,1.11,1807,-3,1900-01-01 08:48:00,13.6,12.3,5.8,6.7,60.0,40.0,50.0,2.5,52.7,2.2,40.0,50.0,1.3,-0.2,-416.0,3.1,0.5,45.0,33.3,2494.0,3.2,1.05,1.22,2
Aurora,15,NL,12,0.167,0.6,1720,-241,1900-01-01 06:21:00,12.1,20.1,4.0,8.8,33.3,25.0,33.3,1.42,28.1,1.8,16.7,25.0,0.58,-0.8,-1854.0,3.33,0.25,25.0,31.2,2288.0,2.7,0.57,0.89,3
Austrian Force Willhaben,15,DE,24,0.5,1.09,1849,8,1900-01-01 08:00:00,16.3,15.0,6.3,5.9,70.8,50.0,50.0,2.29,53.1,2.8,29.2,58.3,1.0,-0.1,-340.0,4.46,0.54,51.3,32.6,2620.0,3.1,1.04,1.29,3
Axolotl,15,IT,20,0.6,1.34,1898,156,1900-01-01 07:18:00,17.3,12.8,7.0,5.2,50.0,80.0,65.0,2.3,54.8,3.2,50.0,50.0,1.15,0.6,1317.0,5.2,0.65,57.8,32.8,2738.0,2.7,0.81,1.12,3
Baam Esports,15,AL,27,0.444,1.04,1867,40,1900-01-01 06:56:00,17.8,17.0,6.3,6.0,40.7,77.8,81.5,2.26,51.7,3.7,66.7,59.3,1.07,0.6,930.0,6.52,0.59,52.2,31.1,2841.0,2.8,1.1,1.23,3
Back2TheGame,15,PL,31,0.581,1.16,1823,21,1900-01-01 09:54:00,18.1,15.6,6.5,6.0,54.8,32.3,41.9,3.16,65.3,2.8,38.7,61.3,1.1,-0.1,-940.0,2.68,0.65,55.4,30.6,2915.0,3.2,0.93,1.12,3
